gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerType,NumInternetServices
Female,0,No,No,0.5549323835036216,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),0.3336089008705903,0.5596297826728909,No,Both,-0.5617363607765944
Male,0,No,No,0.06632271016745371,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.3821283630562824,0.560048876689884,Yes,Both,1.0619199411178875
Female,0,No,No,-0.8701791637268682,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.0996429295038772,-0.5180594532352674,Yes,Both,0.5207011738197268
Male,0,Yes,Yes,-0.9108966365048822,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,-0.5055390046821426,-0.7958526137622506,No,Both,-0.5617363607765944
Female,0,Yes,Yes,1.5321517301759575,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),0.14750085053018241,1.1437365544622384,No,Both,0.5207011738197268
Female,0,Yes,Yes,-0.6258743270587842,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,-1.4626661207185272,-0.8211967730004198,No,Phone only,-1.102955128074755
Female,0,No,No,1.2471294207298596,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0.5014384819811368,1.138928002056737,No,Both,1.603138708416048
Female,0,Yes,No,-0.7887442181708402,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.38013591345569253,-0.5727401936629625,No,Both,1.0619199411178875
Female,0,No,No,0.6770848018376636,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.6559746309245116,0.7177385149785453,No,Both,-0.5617363607765944
Male,0,No,No,-1.2366364187289942,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,-0.5155090788075216,-0.9629167234836553,No,Both,-0.5617363607765944
Female,0,No,No,-1.2366364187289942,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.5280253463154813,-0.9421164256928862,Yes,Both,-0.5617363607765944
Male,0,No,No,0.7992372201717056,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.49811512393934404,0.854980776753906,No,Both,1.0619199411178875
Female,0,Yes,Yes,1.4914342573979436,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),-0.020328730580364097,0.8709945797190156,No,Both,0.5207011738197268
Female,1,No,No,0.4327799651695797,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.8470677183276092,0.687762263973609,No,Both,-0.02051759347843376
Female,0,No,No,-0.7073092726148122,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.1411849050262897,-0.3764497906512407,Yes,Both,1.0619199411178875
Female,1,Yes,No,-0.3001345448346723,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0.1574709246555613,-0.2325240821838304,No,Both,0.5207011738197268
Female,1,Yes,No,-0.9923315820609102,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.5280253463154813,-0.7263271221010587,Yes,Both,-0.5617363607765944
Female,1,Yes,Yes,1.1249770023958177,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),0.33527057989148673,0.9602174901788891,No,Both,1.603138708416048
Male,1,No,No,-0.5851568542807702,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0198823365008454,-0.23256819734351394,Yes,Both,-0.02051759347843376
Female,0,Yes,Yes,1.2471294207298596,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),1.1594633742561515,1.7784875295682405,No,Both,0.5207011738197268
Male,1,Yes,Yes,1.3692818390639017,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,1.4519188819339357,2.1160346738865212,No,Both,1.603138708416048
Female,0,Yes,Yes,0.06632271016745371,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),-1.323085082963221,-0.6111865553271305,No,Phone only,-1.102955128074755
Female,0,No,No,1.6135866757319857,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),1.420346980536902,2.458963867686188,No,Both,1.0619199411178875
Female,0,Yes,No,0.5956498562816357,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.187711917611392,1.0708362530852589,No,Both,0.5207011738197268
Male,0,No,No,1.1249770023958177,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0.8354359651813339,1.3988765804917453,No,Both,-0.02051759347843376
Male,0,Yes,No,1.6135866757319857,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),-0.7531291787957212,0.3009826014485455,No,Internet only,0.5207011738197268
Female,0,Yes,Yes,-0.5851568542807702,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),-0.344356139655182,-0.5834822350458941,No,Both,-0.02051759347843376
Female,0,No,No,-0.9516141092828962,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0.984987077062019,-0.6275312219898662,Yes,Both,-0.02051759347843376
Female,0,No,No,-1.1959189459509803,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.35022569107955537,-0.8980233235892306,No,Both,1.0619199411178875
Male,0,Yes,No,0.5956498562816357,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,0.4698665805841037,0.6046493031298998,No,Both,-0.5617363607765944
Female,0,No,No,-0.055829708166588284,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,0.4798366547094826,0.09593533923964943,No,Both,1.603138708416048
Female,0,Yes,Yes,0.7178022746156777,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),-1.4826062689692852,-0.5950404068829703,No,Phone only,-1.102955128074755
Male,0,No,No,-0.9108966365048822,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,0.5014384819811368,-0.6142525589251335,No,Both,-0.02051759347843376
Male,0,No,No,-1.2773538915070082,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,-0.5221557948911076,-0.9840699425518922,No,Both,-0.5617363607765944
Female,0,Yes,Yes,0.7992372201717056,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,-1.4742978738648027,-0.5245664392885833,No,Phone only,-1.102955128074755
Male,1,Yes,Yes,1.2878468935078735,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.5566046602504149,2.126026757554833,No,Both,1.603138708416048
Male,0,Yes,Yes,1.2064119479518456,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),-1.346348589255772,-0.37724386352554373,No,Phone only,-1.102955128074755
Female,0,No,Yes,-1.1959189459509803,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),-0.008696977434088779,-0.9274481350981233,No,Both,0.5207011738197268
Female,1,No,No,0.9621071112837616,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,1.5200477217906923,1.7027418003916757,No,Both,1.603138708416048
Female,0,No,No,0.5549323835036216,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),-0.3028141641327695,0.18048204277307225,No,Both,-0.5617363607765944
Female,0,Yes,Yes,-0.9923315820609102,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,-0.3360477445506995,-0.7929630708029816,No,Both,-0.02051759347843376
Male,1,No,No,-0.09654718094460228,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.33194722184969394,-0.0743050619789669,No,Both,1.0619199411178875
Female,0,Yes,Yes,0.5142149107256077,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),-1.2915131815661876,-0.4690033956672183,No,Phone only,-1.102955128074755
Female,0,No,Yes,-1.2773538915070082,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.4848216917721718,-0.9707030491677926,Yes,Both,-0.5617363607765944
Female,0,Yes,Yes,-0.8701791637268682,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,-0.4723054242642126,-0.7563033731059952,No,Internet only,0.5207011738197268
Female,0,Yes,No,-1.0330490548389242,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.3452406540168661,-0.786500199909349,Yes,Both,-0.5617363607765944
Female,0,No,No,0.39206249239156565,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.297382732990561,0.9033751069267025,No,Both,1.603138708416048
Female,0,Yes,No,0.6770848018376636,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),-1.4826062689692852,-0.5763135215973257,No,Phone only,-1.102955128074755
Male,0,No,No,-0.9516141092828962,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.1478316211098758,-0.6004003987845153,No,Both,0.5207011738197268
Female,0,Yes,No,0.1070401829454677,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),-0.08679589141622437,-0.028359123168604512,No,Both,-0.02051759347843376
Female,0,Yes,Yes,0.6363673290596497,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),-1.4659894787603203,-0.5394111905220802,No,Phone only,-1.102955128074755
Female,0,Yes,Yes,0.5549323835036216,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,-1.489252985052871,-0.5967167829509433,No,Phone only,-1.102955128074755
Male,0,Yes,No,-0.1372646537226163,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,-1.0306295752854369,-0.5604761792709502,No,Internet only,-0.5617363607765944
Male,0,Yes,Yes,-0.09654718094460228,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),0.574552358900583,0.12813940580860253,No,Both,-0.02051759347843376
Male,1,No,No,-1.2773538915070082,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,0.3302855428287975,-0.9727544040930752,No,Both,-0.5617363607765944
Male,0,Yes,Yes,1.3692818390639017,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,0.6393578407155466,1.5151420838376028,No,Both,1.603138708416048
Female,0,No,No,1.3285643662858877,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.5383261910205535,2.129555970329513,No,Both,1.603138708416048
Male,0,No,No,1.6135866757319857,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.2010053497785642,2.284863389995266,No,Both,1.0619199411178875
Female,0,No,No,-0.8294616909488542,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.4715282596050001,-0.5966064950517346,Yes,Both,-0.5617363607765944
Male,0,Yes,Yes,1.5728692029539715,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),0.06940193654804658,1.0891881595135935,No,Both,0.5207011738197268
Male,0,No,No,-1.114484000394952,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,-1.4526960465931482,-0.955483319076986,Yes,Phone only,-1.102955128074755
Male,0,No,No,0.7992372201717056,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),-1.4543577256140447,-0.5172653803609645,No,Phone only,-1.102955128074755
Female,1,Yes,No,-0.3001345448346723,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.121244756775532,0.10356726186489457,Yes,Both,1.0619199411178875
Male,0,No,No,-1.2773538915070082,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,-1.4809445899483886,-0.9967971661205813,No,Phone only,-1.102955128074755
Female,0,Yes,Yes,-1.2773538915070082,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,-1.5058697752618362,-0.9971280298182076,No,Phone only,-1.102955128074755
Male,0,No,No,0.2291926012795097,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),1.0049272253127768,0.5849077691715348,No,Both,0.5207011738197268
Female,1,Yes,No,1.3692818390639017,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),-0.6384733263538628,0.3297677431420275,No,Internet only,0.5207011738197268
Male,0,Yes,No,1.4507167846199296,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.5034309315817271,2.3522713539916498,Yes,Both,1.603138708416048
Male,0,No,No,-1.114484000394952,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,-1.3446869102348757,-0.9615050383737834,No,Internet only,-1.102955128074755
Female,0,Yes,Yes,1.6135866757319857,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,1.3090144861368367,2.2160437408890097,No,Both,1.0619199411178875
Female,0,No,No,-0.015112235388574289,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,-1.150270464789985,-0.596474149572684,No,Internet only,-0.5617363607765944
Male,0,No,No,0.4327799651695797,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,0.9833253980411222,0.7241793282923362,No,Both,-0.02051759347843376
Male,0,Yes,Yes,1.6135866757319857,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),-1.5075314542827327,-0.40430851399136936,No,Phone only,-1.102955128074755
Male,0,Yes,No,0.9213896385057476,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.0630859910441544,1.3054406722820977,Yes,Both,0.5207011738197268
Female,0,No,No,0.7992372201717056,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),-0.22637692917153032,0.33638501709455215,No,Both,0.5207011738197268
Female,0,No,No,0.4327799651695797,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.8935947309127115,0.7386491006685232,No,Both,0.5207011738197268
Female,1,Yes,No,0.1884751285014957,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.39010598758107146,0.2595805240855832,Yes,Both,-1.102955128074755
Female,0,Yes,Yes,1.2878468935078735,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,-0.33770942357159595,0.504574063387886,No,Internet only,1.0619199411178875
Male,0,Yes,Yes,-1.1959189459509803,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,0.833774286160437,-0.8961263717228402,No,Both,0.5207011738197268
Female,0,No,No,0.1477576557234817,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),-1.1203602424138481,-0.5088173272815747,No,Internet only,-0.5617363607765944
Female,0,Yes,Yes,-0.9108966365048822,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1794035225069095,-0.5360363808062926,Yes,Both,0.5207011738197268
Female,0,No,No,0.3513450196135517,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,-1.4659894787603203,-0.6372806722799191,No,Phone only,-1.102955128074755
Male,0,Yes,Yes,-0.21869959927864427,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),0.6792381372170627,-0.05652665262651757,No,Both,-0.02051759347843376
Female,0,Yes,Yes,0.9621071112837616,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),1.164448411318841,1.42744114638681,No,Both,0.5207011738197268
Female,0,No,No,-1.0737665276169381,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,-1.4643277997394235,-0.9559685858335044,No,Phone only,-1.102955128074755
Male,0,No,No,-1.1959189459509803,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.3203154687034186,-0.9044420793231793,Yes,Both,-1.102955128074755
Female,0,Yes,Yes,-1.0330490548389242,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,-0.46732038720152297,-0.8511509664255147,No,Both,-0.5617363607765944
Female,0,Yes,Yes,-1.1552014731729663,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,-1.4593427626767341,-0.9779599929357279,No,Phone only,-1.102955128074755
Male,0,No,No,0.02560523738943971,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,0.8038640637843003,0.32994420378076156,No,Both,0.5207011738197268
Female,1,No,No,-0.21869959927864427,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,0.4416180372288629,-0.06362919333556061,Yes,Both,-0.5617363607765944
Male,0,Yes,No,1.6135866757319857,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),-1.369612095548323,-0.24518513301299416,No,Phone only,-1.102955128074755
Male,0,No,No,-1.2773538915070082,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,-1.4958997011364572,-0.996995684339157,No,Phone only,-1.102955128074755
Male,1,No,No,1.5728692029539715,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,-0.27622729979842536,0.7524350880696161,No,Internet only,1.0619199411178875
Female,0,No,No,-0.7887442181708402,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.7041633225305103,-0.46942248968421146,No,Both,-0.5617363607765944
Female,0,Yes,Yes,-0.3001345448346723,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),-0.20477510189987586,-0.3428119813925739,Yes,Internet only,1.603138708416048
Male,0,No,No,1.4099993118419156,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),-0.4723054242642126,0.4324898924650512,No,Both,-0.5617363607765944
Male,0,No,No,-1.2773538915070082,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,-0.9741324885749557,-0.990069604268848,Yes,Internet only,-0.5617363607765944
Male,0,No,No,-1.2366364187289942,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,-0.6783536228553786,-0.9698648611338061,Yes,Both,-1.102955128074755
Female,0,No,No,0.4327799651695797,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),-1.2981598976497735,-0.4815321010173315,No,Phone only,-1.102955128074755
Female,0,No,No,-0.38156949039070026,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.34025561695417644,-0.22112031340564636,No,Both,-0.5617363607765944
Female,0,Yes,Yes,1.2878468935078735,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,-1.4809445899483886,-0.44202697552075965,No,Phone only,-1.102955128074755
